"tipo_mueble","nivel","material","unidad","cantidad","notas","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","2","Placa MDF 18mm - * Nivel 2 Blanco","placa","2","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","2","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","2","Tapacanto - PVC Blanco","metro","22","Medida 22×0,8mm","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","2","Bisagra - Codo 0 Común","unidad","8","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","2","Caño Oval - Perchero","metro","1","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","2","Caño Oval - Soporte Embutir","unidad","2","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","2","Soporte Estante - 5/5","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","2","Tornillo 50mm - Melamina T10","unidad","24","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","2","Tornillo 16mm - Melamina T10","unidad","52","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","3","Placa MDF 18mm - * Nivel 3","placa","2","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","3","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","3","Tapacanto - ABS Egger","metro","22","Medida 2×23mm","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","3","Bisagra - Codo 0 C.Suave","unidad","8","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","3","Caño Oval - Perchero","metro","1","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","3","Caño Oval - Soporte Embutir","unidad","2","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","3","Soporte Estante - 5/5","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","3","Tornillo 50mm - Melamina T10","unidad","24","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","3","Tornillo 16mm - Melamina T10","unidad","52","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","4","Placa MDF Crudo 18mm - * Nivel 4","placa","2","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","4","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","4","Tapacanto - ABS Egger","metro","22","Medida 2×23mm","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","4","Bisagra - Codo 0 C.Suave","unidad","8","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","4","Caño Oval - Perchero","metro","1","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","4","Caño Oval - Soporte Embutir","unidad","2","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","4","Soporte Estante - 5/5","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","4","Tornillo 50mm - Melamina T10","unidad","24","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","4","Tornillo 16mm - Melamina T10","unidad","52","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","5","Placa Rauvisio - Brilliant","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","5","Placa MDF 18mm - * Nivel 2 Blanco","placa","1","Interior","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","5","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","5","Tapacanto - ABS PerfectSense","metro","22","Medida 1×23mm","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","5","Bisagra - Codo 0 C.Suave","unidad","8","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","5","Caño Oval - Perchero","metro","1","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","5","Caño Oval - Soporte Embutir","unidad","2","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","5","Soporte Estante - 5/5","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","5","Tornillo 50mm - Melamina T10","unidad","24","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","5","Tornillo 16mm - Melamina T10","unidad","52","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","2","Placa MDF 18mm - * Nivel 2 Blanco","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","2","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","2","Tapacanto - PVC Blanco","metro","10","Medida 22×0,8mm","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","2","Bisagra - Codo 0 Común","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","2","Colgador Alacena - F-10","unidad","2","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","2","Soporte Estante - 5/5","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","2","Tornillo 50mm - Melamina T10","unidad","16","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","2","Tornillo 16mm - Melamina T10","unidad","32","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","3","Placa MDF 18mm - * Nivel 3","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","3","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","3","Tapacanto - ABS Egger","metro","10","Medida 2×23mm","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","3","Bisagra - Codo 0 C.Suave","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","3","Colgador Alacena - F-10","unidad","2","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","3","Soporte Estante - 5/5","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","3","Tornillo 50mm - Melamina T10","unidad","16","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","3","Tornillo 16mm - Melamina T10","unidad","32","","","","","","","","","","","","","","","","","","","","",""
