"STOCK CONSOLIDADO — MUEBLERÍA FONTANA Hoja Origen ▼ HOJA: MADERAS ▼ EGGER MDF 18mm — Nacional","Sección ","Producto ","Categoría ","Color / Variante ","Marca ","Medida ","Código ","Precio Unit. ","Stock Actual ","Stock Mín. ","Precio Total ","Reponer ","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","Blanco Absoluto Soft","Blanco Absoluto Soft","Egger"," 1.83x2.60m "," EGG-001 ","$109.909","22","10","$2.417.998","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","Blanco Absoluto Soft","Roble Bardolino Gris","Egger"," 1.83x2.60m "," EGG-002 ","$109.909","18","10","$1.978.362","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","Blanco SM","Blanco SM","Egger"," 1.83x2.60m "," EGG-003 ","$140.953","15","8","$2.114.295","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST10","Roble Bardolino Gris","Egger"," 1.83x2.60m "," EGG-004 ","$121.762","14","8","$1.704.668","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST22","Fineline Crema","Egger"," 1.83x2.60m "," EGG-005 ","$127.505","12","8","$1.530.060","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST22","Pino Aland Polar","Egger"," 1.83x2.60m "," EGG-006 ","$127.505","10","8","$1.275.050","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST9","Aluminio","Egger"," 1.83x2.60m "," EGG-007 ","$127.505","16","10","$2.040.080","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST9","Gris Acrílica","Egger"," 1.83x2.60m "," EGG-008 ","$127.505","20","10","$2.550.100","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST9","Gris Macadán","Egger"," 1.83x2.60m "," EGG-009 ","$127.505","25","10","$3.187.625","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST9","Gris Peña","Egger"," 1.83x2.60m "," EGG-010 ","$127.505","18","10","$2.295.090","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST9","Gris Cubanita","Egger"," 1.83x2.60m "," EGG-011 ","$127.505","14","10","$1.785.070","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST9","Gris Bruma","Egger"," 1.83x2.60m "," EGG-012 ","$127.505","9","10","$1.147.545","Sí","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST9","Gris Sombra","Egger"," 1.83x2.60m "," EGG-013 ","$127.505","13","10","$1.657.565","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST9","Negro","Egger"," 1.83x2.60m "," EGG-014 ","$127.505","50","12","$6.375.250","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST19","Amarillo Girasol","Egger"," 1.83x2.60m "," EGG-015 ","$127.505","6","5","$765.030","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST19","Azul Cósmico","Egger"," 1.83x2.60m "," EGG-016 ","$127.505","8","5","$1.020.040","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST19","Naranja de Siena","Egger"," 1.83x2.60m "," EGG-017 ","$127.505","50","5","$6.375.250","Sí","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST19","Rojo Cereza","Egger"," 1.83x2.60m "," EGG-018 ","$127.505","7","5","$892.535","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST19","Rosa Antiguo","Egger"," 1.83x2.60m "," EGG-019 ","$127.505","4","5","$510.020","Sí","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST19","Verde Kiwi","Egger"," 1.83x2.60m "," EGG-020 ","$127.505","6","5","$765.030","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST12","Cerezo Locarno","Egger"," 1.83x2.60m "," EGG-021 ","$127.505","10","6","$1.275.050","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST12","Roble Termo Negro","Egger"," 1.83x2.60m "," EGG-022 ","$127.505","15","8","$1.912.575","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST12","Roble Kendal Coñac","Egger"," 1.83x2.60m "," EGG-023 ","$127.505","19","8","$2.422.595","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST12","Roble Kendal Natural","Egger"," 1.83x2.60m "," EGG-024 ","$127.505","22","10","$2.805.110","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST19 Medio","Piedra Grigia Antracita","Egger"," 1.83x2.60m "," EGG-025 ","$136.515","8","5","$1.092.120","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST19 Medio","Rabinia Branco Gris Beige","Egger"," 1.83x2.60m "," EGG-026 ","$136.515","6","5","$819.090","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST19 Medio","Rabinia Branson Marrón Trufa","Egger"," 1.83x2.60m "," EGG-027 ","$136.515","10","5","$1.365.150","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST19 Medio","Fineline Metallic Marrón","Egger"," 1.83x2.60m "," EGG-028 ","$136.515","5","5","$682.575","Sí","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST10 Medio","Chromix Bronce","Egger"," 1.83x2.60m "," EGG-029 ","$136.515","7","5","$955.605","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST10 Medio","Concreto Cetalú Blanco","Egger"," 1.83x2.60m "," EGG-030 ","$136.515","12","6","$1.638.180","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST12 Medio","Roble Sorano Negro Martín","Egger"," 1.83x2.60m "," EGG-031 ","$136.515","9","5","$1.228.635","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST20 Medio","Metallic Gris Platino","Egger"," 1.83x2.60m "," EGG-032 ","$136.515","4","5","$546.060","Sí","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST22 Medio","Whitewood","Egger"," 1.83x2.60m "," EGG-033 ","$136.515","14","8","$1.911.210","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST22 Medio","Graphitewood","Egger"," 1.83x2.60m "," EGG-034 ","$136.515","11","6","$1.501.665","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST22 Medio","Feelwood Champán","Egger"," 1.83x2.60m "," EGG-035 ","$136.515","3","5","$409.545","Sí","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST9 Premium","Piedra Grigia Negro","Egger"," 1.83x2.60m "," EGG-036 ","$198.616","5","3","$993.080","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST10 Premium","Nogal del Pacífico Natural","Egger"," 1.83x2.60m "," EGG-037 ","$198.616","4","3","$794.464","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST10 Premium","Roble Whiteriver Beige Arena","Egger"," 1.83x2.60m "," EGG-038 ","$198.616","6","3","$1.191.696","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST22 Premium","Pino Aland Blanco","Egger"," 1.83x2.60m "," EGG-039 ","$198.616","8","4","$1.588.928","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST19 Premium","Nogal Lincoln","Egger"," 1.83x2.60m "," EGG-040 ","$198.616","3","3","$595.848","Sí","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST19 Premium","Rabinia Branson Marrón Natural","Egger"," 1.83x2.60m "," EGG-041 ","$198.616","5","3","$993.080","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST19 Premium","Roble Vicenza Gris","Egger"," 1.83x2.60m "," EGG-042 ","$198.616","7","3","$1.390.312","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST19 Premium","Roble Kaiserberg","Egger"," 1.83x2.60m "," EGG-043 ","$198.616","4","3","$794.464","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST20 Premium","Bronce Cepillado","Egger"," 1.83x2.60m "," EGG-044 ","$198.616","2","3","$397.232","Sí","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST20 Premium","Metallic Azul Índigo","Egger"," 1.83x2.60m "," EGG-045 ","$198.616","3","3","$595.848","Sí","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST20 Premium","Metal Cepillado Bronce","Egger"," 1.83x2.60m "," EGG-046 ","$198.616","6","3","$1.191.696","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST20 Premium","Metal Cepillado Oro","Egger"," 1.83x2.60m "," EGG-047 ","$198.616","5","3","$993.080","No","","","","","","","","","","","","",""
